news_headline,news_article,news_category,full_text,clean_text
"Man tries to track 2 packets of snacks bought online for ₹400, loses over ₹2L","A 40-year-old businessman who didn't receive two bhujiya packets worth ₹400 ordered online, tried to search for a helpline number but landed on a fake number uploaded by a cyber fraudster. He ended up losing over ₹2 lakh after sharing bank details, UPI pin and OTP with the fraudster, Borivali Police said. An FIR was registered on Saturday.",technology,"Man tries to track 2 packets of snacks bought online for ₹400, loses over ₹2L. A 40-year-old businessman who didn't receive two bhujiya packets worth ₹400 ordered online, tried to search for a helpline number but landed on a fake number uploaded by a cyber fraudster. He ended up losing over ₹2 lakh after sharing bank details, UPI pin and OTP with the fraudster, Borivali Police said. An FIR was registered on Saturday.",man try track 2 packet snack bought online 400 loses 2l 40yearold businessman receive two bhujiya packet worth 400 ordered online tried search helpline number landed fake number uploaded cyber fraudster ended losing 2 lakh sharing bank detail upi pin otp fraudster borivali police said fir wa registered saturday
"I'm selling almost all physical possessions, won't own a house: Billionaire Musk","Billionaire Tesla CEO Elon Musk has claimed he's selling ""almost all"" of his physical possessions and won't own a house. Musk said the promise to sell his possessions included his house, formerly owned by actor Gene Wilder. ""One stipulation on sale. I own Gene Wilder's old house. It cannot be torn down or lose any of its soul,"" he tweeted.",technology,"I'm selling almost all physical possessions, won't own a house: Billionaire Musk. Billionaire Tesla CEO Elon Musk has claimed he's selling ""almost all"" of his physical possessions and won't own a house. Musk said the promise to sell his possessions included his house, formerly owned by actor Gene Wilder. ""One stipulation on sale. I own Gene Wilder's old house. It cannot be torn down or lose any of its soul,"" he tweeted.",selling almost physical possession house billionaire musk billionaire tesla ceo elon musk ha claimed selling almost physical possession house musk said promise sell possession included house formerly owned actor gene wilder one stipulation sale gene wilder old house cannot torn lose soul tweeted
"Mask-wearing robots greet COVID-19 patients in Japan hotels, wish them recovery","Hotels in Japan's Tokyo that have started housing coronavirus patients are using mask-wearing robots to greet the visitors. Named ""Pepper"", it tells the patients, ""Please, wear a mask inside,"" and, ""I hope you recover as quickly as possible."" To ease the burden on nurses, Japan is using hotels to house COVID-19 patients whose symptoms are too light to need hospitalisation.",technology,"Mask-wearing robots greet COVID-19 patients in Japan hotels, wish them recovery. Hotels in Japan's Tokyo that have started housing coronavirus patients are using mask-wearing robots to greet the visitors. Named ""Pepper"", it tells the patients, ""Please, wear a mask inside,"" and, ""I hope you recover as quickly as possible."" To ease the burden on nurses, Japan is using hotels to house COVID-19 patients whose symptoms are too light to need hospitalisation.",maskwearing robot greet covid19 patient japan hotel wish recovery hotel japan tokyo started housing coronavirus patient using maskwearing robot greet visitor named pepper tell patient please wear mask inside hope recover quickly possible ease burden nurse japan using hotel house covid19 patient whose symptom light need hospitalisation
Blood of 'COVID-19 survivors' being sold as vaccine on darknet: Researchers,"Criminals are selling fake vaccines claiming to be made from the blood of allegedly recovered coronavirus patients on the darknet, researchers from Australian National University have said. The researchers discovered 645 listings of coronavirus-related products across 12 darknet markets. Personal protective equipment, thought to be stolen from factories, were the most readily available for sale.",technology,"Blood of 'COVID-19 survivors' being sold as vaccine on darknet: Researchers. Criminals are selling fake vaccines claiming to be made from the blood of allegedly recovered coronavirus patients on the darknet, researchers from Australian National University have said. The researchers discovered 645 listings of coronavirus-related products across 12 darknet markets. Personal protective equipment, thought to be stolen from factories, were the most readily available for sale.",blood covid19 survivor sold vaccine darknet researcher criminal selling fake vaccine claiming made blood allegedly recovered coronavirus patient darknet researcher australian national university said researcher discovered 645 listing coronavirusrelated product across 12 darknet market personal protective equipment thought stolen factory readily available sale
We may not make money this year but won't fire anyone: US software firm's CEO,"American software company SAS Institute's billionaire CEO Jim Goodnight said this would be a terrible time to fire employees. Adding that one can't go find another job at this time, he said his company won't have any furloughs or layoffs. ""We may not make money this year, but we made plenty in the past to get us by,"" he added.",technology,"We may not make money this year but won't fire anyone: US software firm's CEO. American software company SAS Institute's billionaire CEO Jim Goodnight said this would be a terrible time to fire employees. Adding that one can't go find another job at this time, he said his company won't have any furloughs or layoffs. ""We may not make money this year, but we made plenty in the past to get us by,"" he added.",may make money year fire anyone u software firm ceo american software company sa institute billionaire ceo jim goodnight said would terrible time fire employee adding one cannot go find another job time said company furlough layoff may make money year made plenty past get u added
"Aarogya Setu mandatory for all staff, firm heads responsible for 100% coverage","The government has made the use of COVID-19 contact tracing app Aarogya Setu mandatory for all employees, both private and public sector. ""It shall be the responsibility of the head of the respective organisations to ensure 100% coverage of this app among the employees,"" it said. The app has so far been downloaded by more than 8 crore people.",technology,"Aarogya Setu mandatory for all staff, firm heads responsible for 100% coverage. The government has made the use of COVID-19 contact tracing app Aarogya Setu mandatory for all employees, both private and public sector. ""It shall be the responsibility of the head of the respective organisations to ensure 100% coverage of this app among the employees,"" it said. The app has so far been downloaded by more than 8 crore people.",aarogya setu mandatory staff firm head responsible 100 coverage government ha made use covid19 contact tracing app aarogya setu mandatory employee private public sector shall responsibility head respective organisation ensure 100 coverage app among employee said app ha far downloaded 8 crore people
YouTube deletes conspiracy theorist David Icke's account over COVID-19 claims,"Google-owned YouTube has deleted 68-year-old former footballer and English conspiracy theorist David Icke's account over unproven coronavirus-related claims after repeatedly warning him he violated YouTube's policies. He made several claims about the virus, including one that it is linked to the 5G mobile network. The ban follows a similar move by Facebook, which removed Icke's page on Friday.
",technology,"YouTube deletes conspiracy theorist David Icke's account over COVID-19 claims. Google-owned YouTube has deleted 68-year-old former footballer and English conspiracy theorist David Icke's account over unproven coronavirus-related claims after repeatedly warning him he violated YouTube's policies. He made several claims about the virus, including one that it is linked to the 5G mobile network. The ban follows a similar move by Facebook, which removed Icke's page on Friday.
",youtube deletes conspiracy theorist david ickes account covid19 claim googleowned youtube ha deleted 68yearold former footballer english conspiracy theorist david ickes account unproven coronavirusrelated claim repeatedly warning violated youtubes policy made several claim virus including one linked 5g mobile network ban follows similar move facebook removed ickes page friday
Security lapse at Jio exposed COVID-19 symptom checker results online,"A security lapse at Reliance Jio's coronavirus self-test symptom checker exposed one of the symptom checker's core databases to the internet without a password, TechCrunch reported. Security researcher Anurag Sen found the database on May 1, just after it was first exposed. ""We have taken immediate action,"" TechCrunch quoted Jio spokesperson Tushar Pania.",technology,"Security lapse at Jio exposed COVID-19 symptom checker results online. A security lapse at Reliance Jio's coronavirus self-test symptom checker exposed one of the symptom checker's core databases to the internet without a password, TechCrunch reported. Security researcher Anurag Sen found the database on May 1, just after it was first exposed. ""We have taken immediate action,"" TechCrunch quoted Jio spokesperson Tushar Pania.",security lapse jio exposed covid19 symptom checker result online security lapse reliance jios coronavirus selftest symptom checker exposed one symptom checker core database internet without password techcrunch reported security researcher anurag sen found database may 1 wa first exposed taken immediate action techcrunch quoted jio spokesperson tushar pania
Report says Xiaomi tracks users' private phone & web activity; company denies,"A cybersecurity researcher claimed his Xiaomi smartphone was tracking a ""worrying"" amount of activity like the folders he opened and sending data to remote servers hosted by China's Alibaba.  Gabi Cirlig alleged Xiaomi's browsers tracked web activity even in incognito mode. Xiaomi denied breaching user privacy, adding its browsers don't collect any data the user hasn't explicitly given consent to.",technology,"Report says Xiaomi tracks users' private phone & web activity; company denies. A cybersecurity researcher claimed his Xiaomi smartphone was tracking a ""worrying"" amount of activity like the folders he opened and sending data to remote servers hosted by China's Alibaba.  Gabi Cirlig alleged Xiaomi's browsers tracked web activity even in incognito mode. Xiaomi denied breaching user privacy, adding its browsers don't collect any data the user hasn't explicitly given consent to.",report say xiaomi track user private phone web activity company denies cybersecurity researcher claimed xiaomi smartphone wa tracking worrying amount activity like folder opened sending data remote server hosted china alibaba gabi cirlig alleged xiaomis browser tracked web activity even incognito mode xiaomi denied breaching user privacy adding browser collect data user ha explicitly given consent
"My girlfriend Grimes is mad at me, baby due on Monday: Billionaire Elon Musk","Tesla's Billionaire CEO Elon Musk on Friday tweeted that his girlfriend, Canadian musician Grimes, is mad at him. ""This is the best news I've heard so far. This means you're still together, despite speculation to the contrary,"" a user wrote in response to Musk's tweet about Grimes. ""Baby due on Monday,"" Musk replied to the user.",technology,"My girlfriend Grimes is mad at me, baby due on Monday: Billionaire Elon Musk. Tesla's Billionaire CEO Elon Musk on Friday tweeted that his girlfriend, Canadian musician Grimes, is mad at him. ""This is the best news I've heard so far. This means you're still together, despite speculation to the contrary,"" a user wrote in response to Musk's tweet about Grimes. ""Baby due on Monday,"" Musk replied to the user.",girlfriend grime mad baby due monday billionaire elon musk tesla billionaire ceo elon musk friday tweeted girlfriend canadian musician grime mad best news heard far mean still together despite speculation contrary user wrote response musk tweet grime baby due monday musk replied user
